node1,node2
pac,kim
pac,congress
kim,congress
northwest iowa group,sierra club
northwest iowa group,jess mazour
northwest iowa group,sierra club
northwest iowa group,northwest iowa group sierra club
sierra club,jess mazour
sierra club,sierra club
sierra club,northwest iowa group sierra club
jess mazour,sierra club
jess mazour,northwest iowa group sierra club
sierra club,northwest iowa group sierra club
sandy hook,butterfly dylan
sandy hook,dylan
butterfly dylan,dylan
lisa murkowski,supreme court
lisa murkowski,brett kavanaugh
supreme court,brett kavanaugh
fox,fox news
fox,fox sports
fox,fox point
fox,fox
fox,fox news
fox,fox sports
fox,rupert murdoch
fox,roger
fox,fox broadcasting            
fox,fox news
fox,fox
fox,nfl
fox,republican party
fox,edwin starr song war
fox,nike
fox,nfl
fox,fox point
fox,nfl
fox,navajo
fox,nfl
fox,google
fox,fox
fox,bill penzey
fox,fox point
fox news,fox sports
fox news,fox point
fox news,fox
fox news,fox news
fox news,fox sports
fox news,rupert murdoch
fox news,roger
fox news,fox broadcasting            
fox news,fox news
fox news,fox
fox news,nfl
fox news,republican party
fox news,edwin starr song war
fox news,nike
fox news,nfl
fox news,fox point
fox news,nfl
fox news,navajo
fox news,nfl
fox news,google
fox news,fox
fox news,bill penzey
fox news,fox point
fox sports,fox point
fox sports,fox
fox sports,fox news
fox sports,fox sports
fox sports,rupert murdoch
fox sports,roger
fox sports,fox broadcasting            
fox sports,fox news
fox sports,fox
fox sports,nfl
fox sports,republican party
fox sports,edwin starr song war
fox sports,nike
fox sports,nfl
fox sports,fox point
fox sports,nfl
fox sports,navajo
fox sports,nfl
fox sports,google
fox sports,fox
fox sports,bill penzey
fox sports,fox point
fox point,fox
fox point,fox news
fox point,fox sports
fox point,rupert murdoch
fox point,roger
fox point,fox broadcasting            
fox point,fox news
fox point,fox
fox point,nfl
fox point,republican party
fox point,edwin starr song war
fox point,nike
fox point,nfl
fox point,fox point
fox point,nfl
fox point,navajo
fox point,nfl
fox point,google
fox point,fox
fox point,bill penzey
fox point,fox point
fox,fox news
fox,fox sports
fox,rupert murdoch
fox,roger
fox,fox broadcasting            
fox,fox news
fox,fox
fox,nfl
fox,republican party
fox,edwin starr song war
fox,nike
fox,nfl
fox,fox point
fox,nfl
fox,navajo
fox,nfl
fox,google
fox,fox
fox,bill penzey
fox,fox point
fox news,fox sports
fox news,rupert murdoch
fox news,roger
fox news,fox broadcasting            
fox news,fox news
