node1,node2
ben shapiro,monthly
ben shapiro,conservatives
ben shapiro,daily
ben shapiro,daily
ben shapiro,america
ben shapiro,ben shapiro
ben shapiro,america
monthly,conservatives
monthly,daily
monthly,daily
monthly,america
monthly,ben shapiro
monthly,america
conservatives,daily
conservatives,daily
conservatives,america
conservatives,ben shapiro
conservatives,america
daily,daily
daily,america
daily,ben shapiro
daily,america
daily,america
daily,ben shapiro
daily,america
america,ben shapiro
america,america
ben shapiro,america
naral prochoice nevada,adam
naral prochoice nevada,ag
naral prochoice nevada,nevada
naral prochoice nevada,texas
naral prochoice nevada,california
naral prochoice nevada,nevada
adam,ag
adam,nevada
adam,texas
adam,california
adam,nevada
ag,nevada
ag,texas
ag,california
ag,nevada
nevada,texas
nevada,california
nevada,nevada
texas,california
texas,nevada
california,nevada
elizabeth warren,elizabeth
elizabeth warren,ayanna pressley
elizabeth warren,sunday
elizabeth warren,cambridge
elizabeth warren,massachusetts democrats
elizabeth warren,elizabeth warren
elizabeth warren,ayanna pressley
elizabeth warren,democrats
elizabeth warren,massachusetts
elizabeth,ayanna pressley
elizabeth,sunday
elizabeth,cambridge
elizabeth,massachusetts democrats
elizabeth,elizabeth warren
elizabeth,ayanna pressley
elizabeth,democrats
elizabeth,massachusetts
ayanna pressley,sunday
ayanna pressley,cambridge
ayanna pressley,massachusetts democrats
ayanna pressley,elizabeth warren
ayanna pressley,ayanna pressley
ayanna pressley,democrats
ayanna pressley,massachusetts
sunday,cambridge
sunday,massachusetts democrats
sunday,elizabeth warren
sunday,ayanna pressley
sunday,democrats
sunday,massachusetts
cambridge,massachusetts democrats
cambridge,elizabeth warren
cambridge,ayanna pressley
cambridge,democrats
cambridge,massachusetts
massachusetts democrats,elizabeth warren
massachusetts democrats,ayanna pressley
massachusetts democrats,democrats
massachusetts democrats,massachusetts
elizabeth warren,ayanna pressley
elizabeth warren,democrats
elizabeth warren,massachusetts
ayanna pressley,democrats
ayanna pressley,massachusetts
democrats,massachusetts
marsy law,georgia
marsy law,georgia
marsy law,november
georgia,georgia
georgia,november
georgia,november
los angeles times,sacramento
los angeles times,bee california democratic party
los angeles times,california
los angeles times,california california teachers association california nurses association
los angeles times,november
sacramento,bee california democratic party
sacramento,california
sacramento,california california teachers association california nurses association
sacramento,november
bee california democratic party,california
bee california democratic party,california california teachers association california nurses association
bee california democratic party,november
california,california california teachers association california nurses association
california,november
california california teachers association california nurses association,november
sandy hook,congress
sandy hook,congress
sandy hook,congress
congress,congress
congress,congress
congress,congress
jon tester,republican
jon tester,republican
jon tester,millions  
jon tester,gop
republican,republican
republican,millions  
republican,gop
republican,millions  
republican,gop
millions  ,gop
emily list,democrats
emily list,senate
emily list,democrats
democrats,senate
democrats,democrats
senate,democrats
tom steyer,richard nixon
tom steyer,trump handselect
tom steyer,supreme court
tom steyer,robert mueller
richard nixon,trump handselect
richard nixon,supreme court
richard nixon,robert mueller
trump handselect,supreme court
trump handselect,robert mueller
supreme court,robert mueller
tennessee,medicaid
tennessee,sti
medicaid,sti
steven horsford,virginia
steven horsford,virginia
virginia,virginia
nrdc action fund,seismic airguns
nrdc action fund,north carolina
seismic airguns,north carolina
days,democratic
days,greed    
democratic,greed    
uaw international union,uaw
uaw international union,gary jones
uaw international union,november
uaw international union,uaw
uaw,gary jones
uaw,november
uaw,uaw
gary jones,november
gary jones,uaw
november,uaw
marc solomon,marc solomon   
marc solomon,alexandria
marc solomon   ,alexandria
chuck grassley,ford testimony
chuck grassley,chuck grassley
chuck grassley,democratic
chuck grassley,chuck grassley
chuck grassley,democratic
ford testimony,chuck grassley
ford testimony,democratic
ford testimony,chuck grassley
ford testimony,democratic
chuck grassley,democratic
chuck grassley,chuck grassley
chuck grassley,democratic
democratic,chuck grassley
democratic,democratic
chuck grassley,democratic
uaw international union,uaw
uaw international union,debbie stabenow
uaw international union,senate
uaw,debbie stabenow
uaw,senate
debbie stabenow,senate
ohio,mike dewine
ohio,john kasich
mike dewine,john kasich
reform austin,morgan
reform austin,october   
morgan,october   
americans,senate
americans,hundreds
americans,senate
senate,hundreds
senate,senate
hundreds,senate
beto rourke    ,texas
beto rourke    ,✅
beto rourke    ,texas
texas,✅
texas,texas
✅,texas
national republican congressional committee,tuesday
national republican congressional committee,republican
tuesday,republican
antonio delgado,paul ryan
antonio delgado,republican
paul ryan,republican
andrew janz    long ago,gop
andrew janz    long ago,california
andrew janz    long ago,washington
andrew janz    long ago,november
gop,california
gop,washington
gop,november
california,washington
california,november
washington,november
renee hoagenson,congress
renee hoagenson,supreme court
congress,supreme court
tom steyer,anthony kennedy
tom steyer,donald
tom steyer,supreme court
tom steyer,senate
anthony kennedy,donald
anthony kennedy,supreme court
anthony kennedy,senate
donald,supreme court
donald,senate
supreme court,senate
congress,congress
congress,america
congress,america
buffy wicks,american
buffy wicks,walmart
buffy wicks,sacramento
buffy wicks,laborday
american,walmart
american,sacramento
american,laborday
walmart,sacramento
walmart,laborday
sacramento,laborday
desley brooks,desley brooks
desley brooks,city council
desley brooks,city council
elizabeth warren,marijuana
elizabeth warren,marijuana
elizabeth warren,marijuana
marijuana,marijuana
marijuana,marijuana
marijuana,marijuana
texas,gop
texas,afghanistan
texas,taliban
texas,republican
texas,john carter
gop,afghanistan
gop,taliban
gop,republican
gop,john carter
afghanistan,taliban
afghanistan,republican
afghanistan,john carter
taliban,republican
taliban,john carter
republican,john carter
democratic climate,trump    
democratic climate,americans
democratic climate,americans
