node1,node2
brett kavanaugh maine,susan collins
brett kavanaugh maine,kavanaugh
brett kavanaugh maine,susan collins
brett kavanaugh maine,susan collins
brett kavanaugh maine,supreme court
susan collins,kavanaugh
susan collins,susan collins
susan collins,susan collins
susan collins,supreme court
kavanaugh,susan collins
kavanaugh,susan collins
kavanaugh,supreme court
susan collins,susan collins
susan collins,supreme court
susan collins,supreme court
virginia home,supreme court
virginia home,wurtzel rabin   
supreme court,wurtzel rabin   
tony,scott walker
tony,scott walker
scott walker,scott walker
jacky rosen,dean heller   
jacky rosen,senate
jacky rosen,senate
dean heller   ,senate
dean heller   ,senate
senate,senate
ayanna pressley,ayanna pressley
ayanna pressley,congress
ayanna pressley,congress
sierra club,tampa electric
sierra club,teco
tampa electric,teco
brian hoven,senate
brian hoven,brian hoven
senate,brian hoven
congress,💪
congress,Com
congress,Instituto
congress,alem de
congress,datas de postagem
congress,de atualizacao
congress,libraryDT
congress,Estamos
congress,disposicao Iniciemos
congress,histograma das datas de
💪,Com
💪,Instituto
💪,alem de
💪,datas de postagem
💪,de atualizacao
💪,libraryDT
💪,Estamos
💪,disposicao Iniciemos
💪,histograma das datas de
Com,Instituto
Com,alem de
Com,datas de postagem
Com,de atualizacao
Com,libraryDT
Com,Estamos
Com,disposicao Iniciemos
Com,histograma das datas de
Instituto,alem de
Instituto,datas de postagem
Instituto,de atualizacao
Instituto,libraryDT
Instituto,Estamos
Instituto,disposicao Iniciemos
Instituto,histograma das datas de
alem de,datas de postagem
alem de,de atualizacao
alem de,libraryDT
alem de,Estamos
alem de,disposicao Iniciemos
alem de,histograma das datas de
datas de postagem,de atualizacao
datas de postagem,libraryDT
datas de postagem,Estamos
datas de postagem,disposicao Iniciemos
datas de postagem,histograma das datas de
de atualizacao,libraryDT
de atualizacao,Estamos
de atualizacao,disposicao Iniciemos
de atualizacao,histograma das datas de
libraryDT,Estamos
libraryDT,disposicao Iniciemos
libraryDT,histograma das datas de
Estamos,disposicao Iniciemos
Estamos,histograma das datas de
disposicao Iniciemos,histograma das datas de
chuck grassley,ford testimony
chuck grassley,misogyny
chuck grassley,ford
ford testimony,misogyny
ford testimony,ford
misogyny,ford
perry gershon,congress
perry gershon,congress
congress,congress
susan collins,senate
susan collins,supreme court
susan collins,brett kavanaugh   
susan collins,susan collins
susan collins,supreme court
senate,supreme court
senate,brett kavanaugh   
senate,susan collins
senate,supreme court
supreme court,brett kavanaugh   
supreme court,susan collins
supreme court,supreme court
brett kavanaugh   ,susan collins
brett kavanaugh   ,supreme court
susan collins,supreme court
chris stevens,idaho state journal
chris stevens,midsummer
chris stevens,inkom
chris stevens,medicaid
idaho state journal,midsummer
idaho state journal,inkom
idaho state journal,medicaid
